price,price_per_sq_m,sq_meter,location,type_of_property
248690.0,587.83,96.1,"Mojš, okres Žilina",3 izbový byt
185000.0,371.79,78.0,"M. R. Štefánika, Žilina - Staré mesto, okres Žilina",2 izbový byt
185000.0,371.79,78.0,"M. R. Štefánika, Žilina - Staré mesto, okres Žilina",3 izbový byt
189000.0,362.5,80.0,"Daniela Dlabača, Žilina - Staré mesto, okres Žilina",3 izbový byt
390000.0,708.33,144.0,"Vysokoškolákov, Žilina, okres Žilina",4 izbový byt
,,62.0,"Žilina, okres Žilina",2 izbový byt
,,76.0,"Žilina, okres Žilina",3 izbový byt
,,138.0,"Žilina, okres Žilina",3 izbový byt
,,,"Žilina, okres Žilina",4 izbový b
140000.0,456.14,57.0,"Antona Bernoláka, Žilina - Staré mesto, okres Žilina",2 izbový byt
155000.0,987.18,78.0,"Hájik, Žilina, okres Žilina",4 izbový byt
133990.0,30.15,66.0,"Žilina - Hliny, okres Žilina",2 izbový byt
145000.0,768.29,82.0,"Záborského, Žilina - Vlčince, okres Žilina",3 izbový byt
189000.0,478.04,76.27,"Janka Kráľa, Žilina, okres Žilina",2 izbový byt
180000.0,885.08,62.39,"Jarná, Žilina - Hliny, okres Žilina",3 izbový byt
,,,"Žilina - Vlčince, okres Žilina",1 izbový b
,,,"Žilina, okres Žilina",3 izbový b
84990.0,147.78,27.0,"Dolná ulica, Kunerad, okres Žilina",1 izbový byt
,,78.0,"Antona Bernoláka, Žilina - Hliny, okres Žilina",3 izbový byt
105000.0,181.82,33.0,"Žilina, okres Žilina",1 izbový byt
,,79.0,"centrum, Žilina, okres Žilina",2 izbový byt
222500.0,342.11,95.0,"Žilina, okres Žilina",5 a viac izbový byt
89990.0,191.13,28.2,"Žilina, okres Žilina",1 izbový byt
139000.0,622.64,53.0,"Žilina, okres Žilina",2 izbový byt
149000.0,128.57,70.0,"Žilina, okres Žilina",2 izbový byt
243000.0,417.91,100.5,"Pod vinicou, Žilina - Závodie, okres Žilina",4 izbový byt
94800.0,385.71,28.0,"Kvačalova, Žilina - Závodie, okres Žilina",Garsónka
144983.0,788.13,52.0,"Komenského, Žilina, okres Žilina",2 izbový byt
75000.0,260.87,23.0,"Žilina, okres Žilina",Garsónka
109900.0,970.27,37.0,"Žilina - Vlčince, okres Žilina",1 izbový byt
359900.0,44.89,176.0,"Žilina, okres Žilina",4 izbový byt
319000.0,680.67,119.0,"Žilina, okres Žilina",4 izbový byt
215900.0,700.0,127.0,"Žilina, okres Žilina",2 izbový byt
,,89.0,"Žilina, okres Žilina",3 izbový byt
,,104.0,"Žilina, okres Žilina",4 izbový byt
,,80.0,"Žilina, okres Žilina",3 izbový byt
129000.0,150.0,60.0,"Školská 148/4, Rajecké Teplice, okres Žilina",2 izbový byt
111500.0,186.27,51.0,"Žilina, okres Žilina",2 izbový byt
169000.0,522.39,67.0,"Žilina - Solinky, okres Žilina",3 izbový byt
155000.0,845.24,84.0,"Moyzesová, Žilina - Staré mesto, okres Žilina",2 izbový byt
133000.0,462.96,54.0,"Žilina - Hliny, okres Žilina",2 izbový byt
75000.0,250.0,60.0,"Považský Chlmec, Žilina, okres Žilina",1 izbový byt
130000.0,857.14,70.0,"Smreková, Žilina - Solinky, okres Žilina",3 izbový byt
144900.0,300.0,63.0,"Varín, Varín, okres Žilina",2 izbový byt
95000.0,638.89,36.0,"Hlinská, Žilina, okres Žilina",1 izbový byt
250000.0,0.0,50.0,"Žilina, okres Žilina",2 izbový byt
139000.0,206.35,63.0,"Orolská, Žilina - Staré mesto, okres Žilina",2 izbový byt
209990.0,250.12,64.61,"Dolná, Žilina - Budatín, okres Žilina",3 izbový byt
279990.0,135.39,89.3,"Dolná, Žilina - Budatín, okres Žilina",4 izbový byt
174990.0,378.19,51.8,"Dolná, Žilina - Budatín, okres Žilina",2 izbový byt
112000.0,111.11,36.0,"Hlinská, Žilina - Hliny, okres Žilina",1 izbový byt
120000.0,0.0,60.0,"Rajec, okres Žilina",2 izbový byt
179990.0,253.03,55.33,"Budatínska, Žilina - Budatín, okres Žilina",2 izbový byt
169291.0,970.02,57.0,"Školská, Rajecké Teplice, okres Žilina",2 izbový byt
,,,"Žilina, okres Žilina",2 izbový b
,,,"Hričovské Podhradie, okres Žilina",2 izbový b
98000.0,578.95,38.0,"Dlabačova, Žilina, okres Žilina",1 izbový byt
,,161.0,"Horný Val, Žilina, okres Žilina",4 izbový byt
,,152.0,"Horný Val, Žilina, okres Žilina",4 izbový byt
,,,"Žilina, okres Žilina",2 izbový b
265900.0,28.47,87.8,"Pražská, Žilina - Vlčince, okres Žilina",3 izbový byt
265900.0,28.47,87.8,"Pražská, Žilina - Vlčince, okres Žilina",3 izbový byt
181900.0,16.08,60.31,"Pražská, Žilina - Vlčince, okres Žilina",2 izbový byt
185900.0,12.97,61.7,"Pražská, Žilina - Vlčince, okres Žilina",2 izbový byt
107900.0,753.04,28.75,"Pražská, Žilina - Vlčince, okres Žilina",1 izbový byt
110900.0,857.39,28.75,"Pražská, Žilina, okres Žilina",1 izbový byt
98000.0,689.66,58.0,"Daxnerova, Žilina - Staré mesto, okres Žilina",Garsónka
,,,"Lúčanská, Lietavská Lúčka, okres Žilina",3 izbový b
213749.0,343.73,40.0,"Revolučná, Žilina - Staré mesto, okres Žilina",2 izbový byt
550999.0,509.99,100.0,"Revolučná, Žilina - Staré mesto, okres Žilina",4 izbový byt
242249.0,383.31,45.0,"Revolučná, Žilina - Staré mesto, okres Žilina",2 izbový byt
,,,"Žilina, okres Žilina",2 izbový b
264000.0,315.79,114.0,"Pod vinicou, Žilina - Závodie, okres Žilina",5 a viac izbový byt
112000.0,36.36,55.0,"Komenského, Žilina - Hliny, okres Žilina",2 izbový byt
159900.0,926.51,83.0,"Bajzova, Žilina - Hliny, okres Žilina",3 izbový byt
139990.0,147.09,65.2,"Žilina - Hliny, okres Žilina",3 izbový byt
103000.0,16.44,51.08,"Kunerad, okres Žilina",2 izbový byt
,,,"Žilina, Žilina, okres Žilina",3 izbový b
,,,"Antona Bernoláka, Žilina, okres Žilina",3 izbový b
,,,"Rajecká, Žilina, okres Žilina",4 izbový b
,,,"Žilina, okres Žilina",4 izbový b
155170.0,196.09,48.55,"Školská, Rajecké Teplice, okres Žilina",2 izbový byt
118000.0,222.22,53.1,"Žilina - Vlčince, okres Žilina",2 izbový byt
,,,"Murgašova, Žilina, okres Žilina",Dvojgarsón
,,10.0,"Bratislavská, Žilina, okres Žilina",2 izbový byt
159000.0,650.0,60.0,"Sad na studničkách, Žilina - Staré mesto, okres Žilina",2 izbový byt
